Linux 3.10.0-862.14.4.el7.x86_64 (CentOS) 	04/12/18 	_x86_64_	(1 CPU)

10:55:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:29:44        all      0,80      0,00      0,60      0,00      0,00     98,60
11:29:54        all      0,50      0,00      0,50      0,00      0,00     99,00
11:30:04        all      0,80      0,00      0,70      0,00      0,00     98,49
11:30:14        all      0,70      0,00      0,50      0,00      0,00     98,80
11:30:24        all      0,70      0,00      0,50      0,00      0,00     98,80
17:07:06        all     11,34      0,00      0,67      0,00      0,00     87,99
17:07:08        all      0,00      0,00      0,61      0,00      0,00     99,39
Media:          all     15,32      0,00      0,77      0,00      0,00     83,91

10:55:19          tps      rtps      wtps   bread/s   bwrtn/s
10:55:29         0,90      0,00      0,90      0,00      9,82
10:55:39         0,20      0,00      0,20      0,00      1,60
10:55:49         0,10      0,00      0,10      0,00      2,40
10:55:59         1,91      0,00      1,91      0,00     50,45
10:56:09         0,00      0,00      0,00      0,00      0,00
10:56:19         0,00      0,00      0,00      0,00      0,00
10:56:29         0,50      0,00      0,50      0,00      9,05
10:57:03         0,86      0,00      0,86      0,00     18,64
10:57:13         0,21      0,00      0,21      0,00      9,21
10:57:23         0,10      0,00      0,10      0,00      4,01
10:57:33         0,50      0,00      0,50      0,00      7,42
10:57:43         0,30      0,00      0,30      0,00      3,21
10:57:53         0,20      0,00      0,20      0,00     17,71
10:58:03         1,50      0,00      1,50      0,00     21,44
10:58:13         0,10      0,00      0,10      0,00      3,36
10:58:23         0,30      0,00      0,30      0,00      2,41
10:58:33         1,30      0,00      1,30      0,00     41,62
10:58:43         0,30      0,00      0,30      0,00      3,21
10:58:53         0,20      0,00      0,20      0,00      1,60
10:59:03         0,50      0,00      0,50      0,00      7,23
10:59:13         0,21      0,00      0,21      0,00     17,59
10:59:23         0,00      0,00      0,00      0,00      0,00
10:59:33         1,50      0,00      1,50      0,00     15,85
10:59:43         0,40      0,00      0,40      0,00      3,21
10:59:53         0,10      0,00      0,10      0,00     17,65
11:00:03         0,70      0,00      0,70      0,00     11,14
11:00:13         0,31      0,00      0,31      0,00      3,35
11:00:23         0,10      0,00      0,10      0,00      0,80
11:00:33         1,40      0,00      1,40      0,00     34,03
11:00:43         0,60      0,00      0,60      0,00      4,81
11:00:53         0,00      0,00      0,00      0,00      0,00
11:01:03         0,90      0,00      0,90      0,00     12,41
11:01:13         0,10      0,00      0,10      0,00     17,55
11:01:23         0,30      0,00      0,30      0,00      2,40
11:01:33         1,00      0,00      1,00      0,00     12,01
11:01:43         0,50      0,00      0,50      0,00      4,81
11:01:53         0,10      0,00      0,10      0,00     17,65
11:02:03         1,20      0,00      1,20      0,00     20,34
11:02:13         0,00      0,00      0,00      0,00      0,00
11:02:23         0,00      0,00      0,00      0,00      0,00
11:02:33         0,80      0,00      0,80      0,00     29,73
11:02:43         0,20      0,00      0,20      0,00      2,40
11:02:53         0,30      0,00      0,30      0,00      3,21
11:03:03         0,40      0,00      0,40      0,00      7,72
11:03:13         0,21      0,00      0,21      0,00     19,27
11:03:23         0,40      0,00      0,40      0,00      4,82
11:03:33         0,91      0,00      0,91      0,00     10,90
11:03:43         0,00      0,00      0,00      0,00      0,00
11:03:53         0,60      0,00      0,60      0,00     20,84
11:04:03         1,71      0,00      1,71      0,00     27,78
11:04:13         0,00      0,00      0,00      0,00      0,00
11:04:23         0,00      0,00      0,00      0,00      0,00
11:04:33         1,20      0,00      1,20      0,00     34,30
11:04:43         0,00      0,00      0,00      0,00      0,00
11:04:53         0,20      0,00      0,20      0,00      2,41
11:05:03         1,00      0,00      1,00      0,00     16,05
11:05:13         0,20      0,00      0,20      0,00     17,71
11:05:23         0,21      0,00      0,21      0,00      6,20
11:05:33         1,00      0,00      1,00      0,00     16,87
11:05:43         0,00      0,00      0,00      0,00      0,00
11:05:53         0,50      0,00      0,50      0,00     20,04
11:06:03         0,70      0,00      0,70      0,00     11,43
11:06:13         0,00      0,00      0,00      0,00      0,00
11:06:23         0,00      0,00      0,00      0,00      0,00
11:06:33         0,70      0,00      0,70      0,00     26,03
11:06:43         0,00      0,00      0,00      0,00      0,00
11:06:53         0,20      0,00      0,20      0,00      3,21
11:07:03         1,10      0,00      1,10      0,00     16,80
11:07:13         0,20      0,00      0,20      0,00     17,69
11:07:23         0,00      0,00      0,00      0,00      0,00
11:07:33         0,60      0,00      0,60      0,00     13,76
11:07:43         0,00      0,00      0,00      0,00      0,00
11:07:53         0,40      0,00      0,40      0,00     20,04
11:08:03         0,90      0,00      0,90      0,00     12,75
11:08:13         0,00      0,00      0,00      0,00      0,00
11:08:23         0,11      0,00      0,11      0,00      1,70
11:08:33         0,50      0,00      0,50      0,00     23,25
11:08:43         0,20      0,00      0,20      0,00      2,51
11:08:53         0,40      0,00      0,40      0,00      4,80
11:09:03         1,31      0,00      1,31      0,00     18,57
11:09:13         0,30      0,00      0,30      0,00     19,30
11:09:23         0,00      0,00      0,00      0,00      0,00
11:09:33         0,40      0,00      0,40      0,00      7,44
11:09:43         0,00      0,00      0,00      0,00      0,00
11:09:53         0,60      0,00      0,60      0,00     21,71
11:10:03         0,40      0,00      0,40      0,00      7,52
11:10:13         0,00      0,00      0,00      0,00      0,00
11:10:23         0,31      0,00      0,31      0,00      5,86
11:10:33         2,21      0,00      2,21      0,00     59,10
11:10:43         0,00      0,00      0,00      0,00      0,00
11:10:53         0,10      0,00      0,10      0,00      1,60
11:11:03         0,60      0,00      0,60      0,00      6,40
11:11:13         0,20      0,00      0,20      0,00     18,47
11:11:23         0,00      0,00      0,00      0,00      0,00
11:11:33         1,00      0,00      1,00      0,00     17,23
11:11:43         0,20      0,00      0,20      0,00      2,30
11:11:53         0,40      0,00      0,40      0,00     18,44
11:12:03         0,70      0,00      0,70      0,00      9,93
11:12:13         0,30      0,00      0,30      0,00      4,81
11:12:23         0,00      0,00      0,00      0,00      0,00
11:12:33         0,50      0,00      0,50      0,00     23,52
11:12:43         0,40      0,00      0,40      0,00      5,13
11:12:53         0,30      0,00      0,30      0,00      4,02
11:13:03         0,40      0,00      0,40      0,00      7,22
11:13:13         0,10      0,00      0,10      0,00     16,87
11:13:23         0,32      0,00      0,32      0,00      5,91
