Linux 3.10.0-862.14.4.el7.x86_64 (CentOS) 	04/12/18 	_x86_64_	(1 CPU)

11:32:47        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:56:58         0,00      0,00      0,00      0,00      0,00
11:57:08         0,10      0,00      0,10      0,00      1,10
11:57:18         0,80      0,00      0,80      0,00     14,14
11:57:28         0,10      0,00      0,10      0,00     17,64
11:57:38         2,20      0,00      2,20      0,00     41,58
11:57:48         0,50      0,00      0,50      0,00      6,43
11:57:58         0,11      0,00      0,11      0,00      0,84
11:58:08         0,60      0,00      0,60      0,00     20,36
11:58:18         0,30      0,00      0,30      0,00      3,41
11:58:28         0,20      0,00      0,20      0,00      2,40
11:58:38         0,20      0,00      0,20      0,00      2,40
11:58:48         0,70      0,00      0,70      0,00     29,16
11:58:58         0,53      0,00      0,53      0,00      5,37
11:59:08         0,10      0,00      0,10      0,00      0,80
11:59:18         0,40      0,00      0,40      0,00      8,93
11:59:28         0,40      0,00      0,40      0,00     21,87
11:59:38         0,50      0,00      0,50      0,00      5,61
11:59:48         1,40      0,00      1,40      0,00     20,16
11:59:58         0,00      0,00      0,00      0,00      0,00
12:00:08         0,21      0,00      0,21      0,00     18,45
12:00:18         0,50      0,00      0,50      0,00     10,72
12:00:28         0,00      0,00      0,00      0,00      0,00
12:00:38         0,80      0,00      0,80      0,00      6,42
12:00:48         0,40      0,00      0,40      0,00     24,92
12:00:58         0,20      0,00      0,20      0,00      2,51
12:01:08         0,11      0,00      0,11      0,00      1,68
12:01:18         1,60      0,00      1,60      0,00     19,36
12:01:28         0,10      0,00      0,10      0,00     16,82
12:01:38         0,30      0,00      0,30      0,00      2,40
12:01:48         1,41      0,00      1,41      0,00     33,23
12:01:58         0,20      0,00      0,20      0,00      2,40
12:02:08         0,10      0,00      0,10      0,00     18,47
12:02:18         0,50      0,00      0,50      0,00     12,85
12:02:28         0,20      0,00      0,20      0,00      2,31
12:02:38         0,40      0,00      0,40      0,00      6,41
12:02:48         0,90      0,00      0,90      0,00     33,47
12:02:58         0,10      0,00      0,10      0,00      2,40
12:03:08         0,00      0,00      0,00      0,00      0,00
12:03:18         0,50      0,00      0,50      0,00      4,91
12:03:28         0,20      0,00      0,20      0,00     20,04
12:03:38         0,40      0,00      0,40      0,00      3,11
12:03:48         0,60      0,00      0,60      0,00     12,71
12:03:58         0,30      0,00      0,30      0,00      4,81
12:04:08         0,11      0,00      0,11      0,00     17,80
12:04:18         0,20      0,00      0,20      0,00      3,91
12:04:28         0,00      0,00      0,00      0,00      0,00
12:04:38         0,90      0,00      0,90      0,00     10,03
12:04:48         1,81      0,00      1,81      0,00     45,64
12:04:58         0,00      0,00      0,00      0,00      0,00
12:05:08         0,32      0,00      0,32      0,00      5,88
12:05:18         0,30      0,00      0,30      0,00      3,31
12:05:28         0,10      0,00      0,10      0,00     16,85
12:05:38         0,20      0,00      0,20      0,00      1,60
12:05:48         0,80      0,00      0,80      0,00     11,41
12:05:58         0,00      0,00      0,00      0,00      0,00
12:06:08         0,21      0,00      0,21      0,00     17,70
Media:           0,44      0,01      0,44      0,21     10,68
